Hora	Tiempo(nSeg)	ECG(V)							
01:27:56 p. m.	239.00	2.74							
01:27:56 p. m.	240.00	2.92							
01:27:56 p. m.	241.00	2.8							
01:27:56 p. m.	242.00	2.85							
01:27:56 p. m.	243.00	2.72							
01:27:56 p. m.	244.00	2.7							
01:27:56 p. m.	245.00	2.88							
01:27:56 p. m.	246.00	2.87							
01:27:56 p. m.	247.00	2.45							
01:27:56 p. m.	248.00	3.34							
01:27:56 p. m.	249.00	1.78							
01:27:56 p. m.	250.00	2.34							
01:27:56 p. m.	251.00	2.22							
01:27:56 p. m.	252.00	2.83							
01:27:56 p. m.	253.00	2.7							
01:27:56 p. m.	254.00	2.83							
01:27:56 p. m.	255.00	2.66							
01:27:56 p. m.	256.00	2.7							
01:27:56 p. m.	257.00	2.88							
01:27:56 p. m.	258.00	2.91							
01:27:56 p. m.	259.00	2.75							
01:27:56 p. m.	260.00	3.04							
01:27:56 p. m.	261.00	2.81							
01:27:56 p. m.	262.00	2.55							
01:27:56 p. m.	263.00	2.83							
01:27:56 p. m.	264.00	2.8							
01:27:56 p. m.	265.00	2.75							
01:27:56 p. m.	266.00	2.75							
01:27:56 p. m.	267.00	2.77							
01:27:56 p. m.	268.00	2.78							
01:27:56 p. m.	269.00	2.64							
01:27:56 p. m.	270.00	2.77							
01:27:56 p. m.	271.00	2.76							
01:27:56 p. m.	272.00	2.71							
01:27:56 p. m.	273.00	2.79							
01:27:56 p. m.	274.00	2.85							
01:27:56 p. m.	275.00	2.85							
01:27:56 p. m.	276.00	2.98							
01:27:56 p. m.	277.00	2.18							
01:27:57 p. m.	278.00	2.57							
01:27:57 p. m.	279.00	2.87							
01:27:57 p. m.	280.00	2.56							
01:27:57 p. m.	281.00	2.76							
01:27:57 p. m.	282.00	2.88							
01:27:57 p. m.	283.00	2.97							
01:27:57 p. m.	284.00	2.72							
01:27:57 p. m.	285.00	2.82							
01:27:57 p. m.	286.00	2.78							
01:27:57 p. m.	287.00	2.7							
01:27:57 p. m.	288.00	2.74							
01:27:57 p. m.	289.00	2.76							
01:27:57 p. m.	290.00	2.74							
01:27:57 p. m.	291.00	2.67							
01:27:57 p. m.	292.00	2.7							
01:27:57 p. m.	293.00	2.7							
01:27:57 p. m.	294.00	2.71							
01:27:57 p. m.	295.00	2.77							
01:27:57 p. m.	296.00	2.86							
01:27:57 p. m.	297.00	2.59							
01:27:57 p. m.	298.00	2.83							
01:27:57 p. m.	299.00	2.67							
01:27:57 p. m.	300.00	2.83							
01:27:57 p. m.	301.00	2.7							
01:27:57 p. m.	302.00	2.56							
01:27:57 p. m.	303.00	1.84							
01:27:57 p. m.	304.00	4.44							
01:27:57 p. m.	305.00	2.42							
01:27:57 p. m.	306.00	2.97							
01:27:57 p. m.	307.00	2.72							
01:27:57 p. m.	308.00	2.83							
01:27:57 p. m.	309.00	2.86							
01:27:57 p. m.	310.00	2.65							
01:27:57 p. m.	311.00	2.61							
01:27:57 p. m.	312.00	2.92							
01:27:57 p. m.	313.00	2.76							
01:27:57 p. m.	314.00	2.8							
01:27:57 p. m.	315.00	2.7							
01:27:57 p. m.	316.00	3.01							
01:27:57 p. m.	317.00	2.82							
01:27:57 p. m.	318.00	2.72							
01:27:57 p. m.	319.00	2.84							
01:27:57 p. m.	320.00	2.78							
01:27:57 p. m.	321.00	2.7							
01:27:57 p. m.	322.00	2.72							
01:27:57 p. m.	323.00	2.72							
01:27:57 p. m.	324.00	2.89							
01:27:57 p. m.	325.00	2.72							
01:27:58 p. m.	326.00	2.84							
01:27:58 p. m.	327.00	3.17							
01:27:58 p. m.	328.00	3.79							
01:27:58 p. m.	329.00	4.48							
01:27:58 p. m.	330.00	2.04							
01:27:58 p. m.	331.00	2.73							
01:27:58 p. m.	332.00	2.73							
01:27:58 p. m.	333.00	3.21							
01:27:58 p. m.	334.00	2.46							
01:27:58 p. m.	335.00	2.82							
01:27:58 p. m.	336.00	2.83							
01:27:58 p. m.	337.00	2.74							
01:27:58 p. m.	338.00	2.76							
01:27:58 p. m.	339.00	2.65							
01:27:58 p. m.	340.00	2.8							
01:27:58 p. m.	341.00	2.82							
01:27:58 p. m.	342.00	2.75							
01:27:58 p. m.	343.00	2.8							
01:27:58 p. m.	344.00	2.85							
01:27:58 p. m.	345.00	2.82							
01:27:58 p. m.	346.00	2.83							
01:27:58 p. m.	347.00	2.85							
01:27:58 p. m.	348.00	2.98							
01:27:58 p. m.	349.00	2.75							
01:27:58 p. m.	350.00	2.91							
01:27:58 p. m.	351.00	2.74							
01:27:58 p. m.	352.00	2.82							
01:27:58 p. m.	353.00	2.95							
01:27:58 p. m.	354.00	2.75							
01:27:58 p. m.	355.00	2.89							
01:27:58 p. m.	356.00	1.42							
01:27:58 p. m.	357.00	3.43							
01:27:58 p. m.	358.00	3.87							
01:27:58 p. m.	359.00	3.63							
01:27:58 p. m.	360.00	3.02							
01:27:58 p. m.	361.00	2.76							
01:27:58 p. m.	362.00	2.98							
01:27:58 p. m.	363.00	2.22							
