Hora	Tiempo(nSeg)	ECG(V)							
01:32:22 p. m.	308.00	2.77							
01:32:22 p. m.	309.00	2.8							
01:32:22 p. m.	310.00	2.84							
01:32:22 p. m.	311.00	2.77							
01:32:22 p. m.	312.00	2.73							
01:32:22 p. m.	313.00	2.98							
01:32:22 p. m.	314.00	2.66							
01:32:22 p. m.	315.00	2.7							
01:32:22 p. m.	316.00	2.88							
01:32:22 p. m.	317.00	2.74							
01:32:22 p. m.	318.00	2.83							
01:32:22 p. m.	319.00	2.84							
01:32:22 p. m.	320.00	2.85							
01:32:22 p. m.	321.00	2.79							
01:32:22 p. m.	322.00	2.79							
01:32:22 p. m.	323.00	2.79							
01:32:22 p. m.	324.00	2.85							
01:32:22 p. m.	325.00	2.72							
01:32:22 p. m.	326.00	2.67							
01:32:22 p. m.	327.00	2.83							
01:32:22 p. m.	328.00	2.77							
01:32:22 p. m.	329.00	2.5							
01:32:22 p. m.	330.00	3.29							
01:32:22 p. m.	331.00	1.49							
01:32:22 p. m.	332.00	3.59							
01:32:22 p. m.	333.00	0							
01:32:22 p. m.	334.00	4.57							
01:32:22 p. m.	335.00	2.7							
01:32:22 p. m.	336.00	3.37							
01:32:22 p. m.	337.00	2.73							
01:32:22 p. m.	338.00	2.61							
01:32:22 p. m.	339.00	2.86							
01:32:22 p. m.	340.00	2.76							
01:32:22 p. m.	341.00	2.78							
01:32:22 p. m.	342.00	2.75							
01:32:22 p. m.	343.00	2.76							
01:32:22 p. m.	344.00	2.76							
01:32:22 p. m.	345.00	2.74							
01:32:22 p. m.	346.00	2.75							
01:32:22 p. m.	347.00	2.84							
01:32:22 p. m.	348.00	2.75							
01:32:22 p. m.	349.00	2.77							
01:32:23 p. m.	350.00	2.88							
01:32:23 p. m.	351.00	2.78							
01:32:23 p. m.	352.00	2.73							
01:32:23 p. m.	353.00	2.77							
01:32:23 p. m.	354.00	2.86							
01:32:23 p. m.	355.00	2.94							
01:32:23 p. m.	356.00	2.2							
01:32:23 p. m.	357.00	2.25							
01:32:23 p. m.	358.00	2.46							
01:32:23 p. m.	359.00	2.86							
01:32:23 p. m.	360.00	2.99							
01:32:23 p. m.	361.00	2.52							
01:32:23 p. m.	362.00	2.75							
01:32:23 p. m.	363.00	2.78							
01:32:23 p. m.	364.00	2.97							
01:32:23 p. m.	365.00	2.7							
01:32:23 p. m.	366.00	2.53							
01:32:23 p. m.	367.00	2.7							
01:32:23 p. m.	368.00	2.77							
01:32:23 p. m.	369.00	2.77							
01:32:23 p. m.	370.00	2.77							
01:32:23 p. m.	371.00	2.85							
01:32:23 p. m.	372.00	2.8							
01:32:23 p. m.	373.00	2.71							
01:32:23 p. m.	374.00	2.72							
01:32:23 p. m.	375.00	2.78							
01:32:23 p. m.	376.00	2.74							
01:32:23 p. m.	377.00	2.71							
01:32:23 p. m.	378.00	2.8							
01:32:23 p. m.	379.00	2.94							
01:32:23 p. m.	380.00	2.75							
01:32:23 p. m.	381.00	2.78							
01:32:23 p. m.	382.00	2.78							
