Hora	Tiempo(nSeg)	ECG(V)							
01:30:59 p. m.	703.00	2.74							
01:30:59 p. m.	704.00	2.82							
01:30:59 p. m.	705.00	3.76							
01:30:59 p. m.	706.00	2.42							
01:30:59 p. m.	707.00	2.87							
01:30:59 p. m.	708.00	5							
01:30:59 p. m.	709.00	0.98							
01:30:59 p. m.	710.00	0							
01:30:59 p. m.	711.00	3.54							
01:30:59 p. m.	712.00	2.79							
01:30:59 p. m.	713.00	2.59							
01:30:59 p. m.	714.00	2.85							
01:30:59 p. m.	715.00	2.6							
01:30:59 p. m.	716.00	2.92							
01:30:59 p. m.	717.00	2.89							
01:30:59 p. m.	718.00	2.85							
01:30:59 p. m.	719.00	2.8							
01:30:59 p. m.	720.00	3.18							
01:30:59 p. m.	721.00	2.71							
01:30:59 p. m.	722.00	2.61							
01:30:59 p. m.	723.00	2.66							
01:30:59 p. m.	724.00	2.85							
01:31:00 p. m.	725.00	2.79							
01:31:00 p. m.	726.00	2.94							
01:31:00 p. m.	727.00	2.9							
01:31:00 p. m.	728.00	2.07							
01:31:00 p. m.	729.00	1.75							
01:31:00 p. m.	730.00	3.09							
01:31:00 p. m.	731.00	3.02							
01:31:00 p. m.	732.00	4.77							
01:31:00 p. m.	733.00	5							
01:31:00 p. m.	734.00	5							
01:31:00 p. m.	735.00	3.06							
01:31:00 p. m.	736.00	3.06							
01:31:00 p. m.	737.00	2.88							
01:31:00 p. m.	738.00	2.72							
01:31:00 p. m.	739.00	2.74							
01:31:00 p. m.	740.00	2.77							
01:31:00 p. m.	741.00	2.68							
01:31:00 p. m.	742.00	3.04							
01:31:00 p. m.	743.00	2.67							
01:31:00 p. m.	744.00	2.83							
01:31:00 p. m.	745.00	2.99							
01:31:00 p. m.	746.00	2.76							
01:31:00 p. m.	747.00	2.83							
01:31:00 p. m.	748.00	2.63							
01:31:00 p. m.	749.00	2.77							
01:31:00 p. m.	750.00	2.47							
01:31:00 p. m.	751.00	0.8							
01:31:00 p. m.	752.00	3.21							
01:31:00 p. m.	753.00	2.81							
01:31:00 p. m.	754.00	2.17							
01:31:00 p. m.	755.00	2.19							
01:31:00 p. m.	756.00	0							
01:31:00 p. m.	757.00	3.63							
01:31:00 p. m.	758.00	2.97							
01:31:00 p. m.	759.00	2.64							
01:31:00 p. m.	760.00	2.55							
01:31:00 p. m.	761.00	2.91							
01:31:00 p. m.	762.00	2.97							
01:31:00 p. m.	763.00	2.83							
01:31:00 p. m.	764.00	2.81							
01:31:00 p. m.	765.00	2.74							
01:31:00 p. m.	766.00	2.9							
01:31:00 p. m.	767.00	2.88							
01:31:00 p. m.	768.00	2.64							
01:31:00 p. m.	769.00	3.26							
01:31:00 p. m.	770.00	3.23							
01:31:00 p. m.	771.00	3.64							
01:31:00 p. m.	772.00	5							
01:31:01 p. m.	773.00	1.47							
01:31:01 p. m.	774.00	3.38							
01:31:01 p. m.	775.00	2.82							
01:31:01 p. m.	776.00	2.96							
01:31:01 p. m.	777.00	2.76							
01:31:01 p. m.	778.00	2.88							
01:31:01 p. m.	779.00	2.64							
01:31:01 p. m.	780.00	2.99							
01:31:01 p. m.	781.00	2.69							
01:31:01 p. m.	782.00	3.01							
01:31:01 p. m.	783.00	2.82							
01:31:01 p. m.	784.00	2.77							
01:31:01 p. m.	785.00	2.71							
01:31:01 p. m.	786.00	2.81							
01:31:01 p. m.	787.00	2.9							
01:31:01 p. m.	788.00	2.98							
01:31:01 p. m.	789.00	2.73							
01:31:01 p. m.	790.00	2.73							
01:31:01 p. m.	791.00	2.74							
01:31:01 p. m.	792.00	2.75							
01:31:01 p. m.	793.00	1.08							
01:31:01 p. m.	794.00	1.52							
01:31:01 p. m.	795.00	1.57							
01:31:01 p. m.	796.00	1.06							
01:31:01 p. m.	797.00	1.18							
01:31:01 p. m.	798.00	3.4							
01:31:01 p. m.	799.00	1.71							
01:31:01 p. m.	800.00	3.37							
01:31:01 p. m.	801.00	2.82							
01:31:01 p. m.	802.00	2.57							
01:31:01 p. m.	803.00	2.88							
01:31:01 p. m.	804.00	2.89							
01:31:01 p. m.	805.00	3.05							
01:31:01 p. m.	806.00	2.75							
01:31:01 p. m.	807.00	3.02							
01:31:01 p. m.	808.00	2.68							
01:31:01 p. m.	809.00	2.67							
01:31:01 p. m.	810.00	2.77							
01:31:01 p. m.	811.00	2.94							
01:31:01 p. m.	812.00	2.89							
01:31:01 p. m.	813.00	2.75							
01:31:01 p. m.	814.00	3.03							
01:31:01 p. m.	815.00	2.72							
01:31:01 p. m.	816.00	2.86							
01:31:01 p. m.	817.00	2.72							
01:31:01 p. m.	818.00	2.81							
01:31:01 p. m.	819.00	1.27							
01:31:01 p. m.	820.00	3.76							
01:31:02 p. m.	821.00	4.08							
01:31:02 p. m.	822.00	3.43							
01:31:02 p. m.	823.00	2.74							
01:31:02 p. m.	824.00	2.54							
01:31:02 p. m.	825.00	2.36							
01:31:02 p. m.	826.00	3.28							
01:31:02 p. m.	827.00	2.74							
01:31:02 p. m.	828.00	2.94							
01:31:02 p. m.	829.00	2.65							
01:31:02 p. m.	830.00	3.04							
01:31:02 p. m.	831.00	2.87							
01:31:02 p. m.	832.00	2.73							
01:31:02 p. m.	833.00	2.73							
01:31:02 p. m.	834.00	2.67							
01:31:02 p. m.	835.00	2.66							
01:31:02 p. m.	836.00	2.69							
01:31:02 p. m.	837.00	2.84							
01:31:02 p. m.	838.00	2.77							
01:31:02 p. m.	839.00	2.71							
01:31:02 p. m.	840.00	2.75							
01:31:02 p. m.	841.00	2.79							
01:31:02 p. m.	842.00	2.81							
01:31:02 p. m.	843.00	2.81							
01:31:02 p. m.	844.00	2.71							
01:31:02 p. m.	845.00	2.67							
01:31:02 p. m.	846.00	2.66							
01:31:02 p. m.	847.00	3.19							
01:31:02 p. m.	848.00	4.29							
01:31:02 p. m.	849.00	3.52							
01:31:02 p. m.	850.00	3.66							
01:31:02 p. m.	851.00	3.26							
01:31:02 p. m.	852.00	0.94							
01:31:02 p. m.	853.00	0							
01:31:02 p. m.	854.00	3.69							
01:31:02 p. m.	855.00	2.87							
01:31:02 p. m.	856.00	2.68							
01:31:02 p. m.	857.00	2.79							
01:31:02 p. m.	858.00	2.86							
01:31:02 p. m.	859.00	2.65							
01:31:02 p. m.	860.00	2.73							
01:31:02 p. m.	861.00	2.83							
01:31:02 p. m.	862.00	2.81							
01:31:02 p. m.	863.00	2.8							
01:31:02 p. m.	864.00	2.66							
01:31:02 p. m.	865.00	2.81							
01:31:02 p. m.	866.00	2.8							
01:31:02 p. m.	867.00	2.79							
01:31:02 p. m.	868.00	2.95							
01:31:03 p. m.	869.00	2.8							
01:31:03 p. m.	870.00	2.64							
01:31:03 p. m.	871.00	2.79							
01:31:03 p. m.	872.00	2.28							
01:31:03 p. m.	873.00	1.02							
01:31:03 p. m.	874.00	4.18							
01:31:03 p. m.	875.00	2.95							
01:31:03 p. m.	876.00	0.4							
01:31:03 p. m.	877.00	0							
01:31:03 p. m.	878.00	1.37							
01:31:03 p. m.	879.00	3.44							
01:31:03 p. m.	880.00	2.69							
01:31:03 p. m.	881.00	2.61							
01:31:03 p. m.	882.00	2.65							
01:31:03 p. m.	883.00	2.68							
01:31:03 p. m.	884.00	2.79							
01:31:03 p. m.	885.00	2.7							
01:31:03 p. m.	886.00	2.95							
01:31:03 p. m.	887.00	2.73							
01:31:03 p. m.	888.00	2.86							
01:31:03 p. m.	889.00	2.63							
01:31:03 p. m.	890.00	2.84							
01:31:03 p. m.	891.00	2.92							
01:31:03 p. m.	892.00	2.67							
01:31:03 p. m.	893.00	2.89							
01:31:03 p. m.	894.00	2.74							
01:31:03 p. m.	895.00	2.77							
01:31:03 p. m.	896.00	2.77							
01:31:03 p. m.	897.00	2.79							
01:31:03 p. m.	898.00	2.73							
01:31:03 p. m.	899.00	3.55							
01:31:03 p. m.	900.00	2.88							
01:31:03 p. m.	901.00	2.55							
01:31:03 p. m.	902.00	3.85							
01:31:03 p. m.	903.00	0.39							
01:31:03 p. m.	904.00	0							
01:31:03 p. m.	905.00	0							
01:31:03 p. m.	906.00	3.66							
01:31:03 p. m.	907.00	2.78							
01:31:03 p. m.	908.00	2.62							
01:31:03 p. m.	909.00	2.63							
01:31:03 p. m.	910.00	2.68							
01:31:03 p. m.	911.00	3.05							
01:31:03 p. m.	912.00	2.77							
01:31:03 p. m.	913.00	2.74							
01:31:03 p. m.	914.00	2.81							
01:31:03 p. m.	915.00	2.89							
01:31:03 p. m.	916.00	2.71							
01:31:04 p. m.	917.00	2.81							
01:31:04 p. m.	918.00	2.74							
01:31:04 p. m.	919.00	2.7							
01:31:04 p. m.	920.00	2.84							
01:31:04 p. m.	921.00	2.88							
01:31:04 p. m.	922.00	2.88							
01:31:04 p. m.	923.00	2.72							
01:31:04 p. m.	924.00	2.61							
01:31:04 p. m.	925.00	3.01							
01:31:04 p. m.	926.00	3.42							
01:31:04 p. m.	927.00	2.39							
01:31:04 p. m.	928.00	4.67							
01:31:04 p. m.	929.00	2.66							
01:31:04 p. m.	930.00	2.57							
01:31:04 p. m.	931.00	2.61							
01:31:04 p. m.	932.00	2.81							
01:31:04 p. m.	933.00	2.88							
01:31:04 p. m.	934.00	2.83							
01:31:04 p. m.	935.00	2.68							
01:31:04 p. m.	936.00	2.83							
01:31:04 p. m.	937.00	2.63							
01:31:04 p. m.	938.00	2.97							
01:31:04 p. m.	939.00	2.58							
01:31:04 p. m.	940.00	2.81							
01:31:04 p. m.	941.00	2.74							
01:31:04 p. m.	942.00	2.57							
01:31:04 p. m.	943.00	2.78							
01:31:04 p. m.	944.00	2.86							
01:31:04 p. m.	945.00	2.74							
01:31:04 p. m.	946.00	2.65							
01:31:04 p. m.	947.00	2.86							
01:31:04 p. m.	948.00	2.86							
01:31:04 p. m.	949.00	3.21							
01:31:04 p. m.	950.00	0.58							
01:31:04 p. m.	951.00	3.35							
01:31:04 p. m.	952.00	1.66							
01:31:04 p. m.	953.00	4.1							
01:31:04 p. m.	954.00	2.63							
01:31:04 p. m.	955.00	2.8							
01:31:04 p. m.	956.00	2.76							
01:31:04 p. m.	957.00	2.63							
01:31:04 p. m.	958.00	2.42							
01:31:04 p. m.	959.00	3.23							
01:31:04 p. m.	960.00	2.74							
01:31:04 p. m.	961.00	2.77							
01:31:04 p. m.	962.00	2.7							
01:31:04 p. m.	963.00	2.73							
01:31:04 p. m.	964.00	2.81							
01:31:05 p. m.	965.00	2.72							
01:31:05 p. m.	966.00	2.74							
01:31:05 p. m.	967.00	2.87							
01:31:05 p. m.	968.00	2.66							
01:31:05 p. m.	969.00	2.97							
01:31:05 p. m.	970.00	3.28							
01:31:05 p. m.	971.00	1.33							
01:31:05 p. m.	972.00	3.21							
01:31:05 p. m.	973.00	2.83							
01:31:05 p. m.	974.00	2.78							
01:31:05 p. m.	975.00	2.83							
01:31:05 p. m.	976.00	2.77							
01:31:05 p. m.	977.00	2.63							
01:31:05 p. m.	978.00	2.83							
01:31:05 p. m.	979.00	2.96							
01:31:05 p. m.	980.00	3.32							
01:31:05 p. m.	981.00	2.72							
01:31:05 p. m.	982.00	2.65							
01:31:05 p. m.	983.00	2.73							
01:31:05 p. m.	984.00	2.75							
01:31:05 p. m.	985.00	2.72							
01:31:05 p. m.	986.00	2.82							
01:31:05 p. m.	987.00	2.58							
01:31:05 p. m.	988.00	2.74							
01:31:05 p. m.	989.00	4.09							
01:31:05 p. m.	990.00	2.71							
01:31:05 p. m.	991.00	0							
01:31:05 p. m.	992.00	0							
01:31:05 p. m.	993.00	3.43							
01:31:05 p. m.	994.00	0							
01:31:05 p. m.	995.00	5							
01:31:05 p. m.	996.00	2.83							
01:31:05 p. m.	997.00	2.06							
01:31:05 p. m.	998.00	2.83							
01:31:05 p. m.	999.00	2.37							
01:31:05 p. m.	1000.00	2.92							
01:31:05 p. m.	1001.00	2.43							
01:31:05 p. m.	1002.00	2.76							
01:31:05 p. m.	1003.00	2.8							
01:31:05 p. m.	1004.00	2.81							
01:31:05 p. m.	1005.00	2.96							
01:31:05 p. m.	1006.00	2.69							
01:31:05 p. m.	1007.00	2.78							
01:31:05 p. m.	1008.00	2.76							
01:31:05 p. m.	1009.00	2.78							
01:31:05 p. m.	1010.00	2.71							
01:31:05 p. m.	1011.00	2.78							
01:31:05 p. m.	1012.00	2.77							
01:31:06 p. m.	1013.00	2.43							
01:31:06 p. m.	1014.00	1.91							
01:31:06 p. m.	1015.00	3.48							
01:31:06 p. m.	1016.00	5							
01:31:06 p. m.	1017.00	5							
01:31:06 p. m.	1018.00	5							
01:31:06 p. m.	1019.00	3.93							
01:31:06 p. m.	1020.00	2.96							
01:31:06 p. m.	1021.00	2.86							
01:31:06 p. m.	1022.00	2.61							
01:31:06 p. m.	1023.00	2.8							
01:31:06 p. m.	1024.00	2.84							
01:31:06 p. m.	1025.00	2.61							
01:31:06 p. m.	1026.00	2.69							
01:31:06 p. m.	1027.00	2.99							
01:31:06 p. m.	1028.00	2.72							
01:31:06 p. m.	1029.00	2.79							
01:31:06 p. m.	1030.00	2.82							
01:31:06 p. m.	1031.00	2.74							
01:31:06 p. m.	1032.00	2.83							
01:31:06 p. m.	1033.00	2.65							
01:31:06 p. m.	1034.00	2.8							
01:31:06 p. m.	1035.00	2.85							
01:31:06 p. m.	1036.00	2.73							
01:31:06 p. m.	1037.00	2.65							
01:31:06 p. m.	1038.00	2.71							
01:31:06 p. m.	1039.00	2.78							
01:31:06 p. m.	1040.00	0.67							
01:31:06 p. m.	1041.00	3.55							
01:31:06 p. m.	1042.00	2.59							
01:31:06 p. m.	1043.00	4.1							
01:31:06 p. m.	1044.00	1.91							
01:31:06 p. m.	1045.00	0							
01:31:06 p. m.	1046.00	3.75							
01:31:06 p. m.	1047.00	2.92							
01:31:06 p. m.	1048.00	2.81							
01:31:06 p. m.	1049.00	2.61							
01:31:06 p. m.	1050.00	2.71							
01:31:06 p. m.	1051.00	2.97							
01:31:06 p. m.	1052.00	2.58							
01:31:06 p. m.	1053.00	2.67							
01:31:06 p. m.	1054.00	2.87							
01:31:06 p. m.	1055.00	2.93							
01:31:06 p. m.	1056.00	2.73							
01:31:06 p. m.	1057.00	2.73							
01:31:06 p. m.	1058.00	2.83							
01:31:07 p. m.	1059.00	2.69							
01:31:07 p. m.	1060.00	2.76							
01:31:07 p. m.	1061.00	2.87							
01:31:07 p. m.	1062.00	2.01							
01:31:07 p. m.	1063.00	3.37							
01:31:07 p. m.	1064.00	1.04							
01:31:07 p. m.	1065.00	0							
01:31:07 p. m.	1066.00	3.23							
01:31:07 p. m.	1067.00	2.42							
01:31:07 p. m.	1068.00	2.85							
01:31:07 p. m.	1069.00	2.73							
01:31:07 p. m.	1070.00	2.72							
01:31:07 p. m.	1071.00	2.95							
01:31:07 p. m.	1072.00	2.61							
01:31:07 p. m.	1073.00	2.86							
01:31:07 p. m.	1074.00	2.86							
01:31:07 p. m.	1075.00	2.62							
01:31:07 p. m.	1076.00	2.81							
01:31:07 p. m.	1077.00	2.92							
01:31:07 p. m.	1078.00	2.72							
01:31:07 p. m.	1079.00	2.95							
01:31:07 p. m.	1080.00	2.68							
01:31:07 p. m.	1081.00	2.66							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			2.76						
